url,source,title,prefilter_status,final_stage,reason,html_length,text_length
https://people.onliner.by/2026/09/04/mat-pozhalovalas-na-travmy,Onlíner,Мать пожаловалась на травмы 5-летнего сына в психиатрической больнице Гомеля. Что ответили врачи,strong,relevance_rejected,криминальная/происшественная тема: милици,147095,3174
https://www.hoiniki.by/?p=256874,Хойніцкія навіны,В МЧС предупредили о факторах опасности из-за тумана и гроз,strong,relevance_rejected,прогноз без фактической социальной проблемы: ожидается,100024,863
https://realt.onliner.by/2026/09/03/zayavku-v-sluzhbe-115-zakryli,Onlíner,"Заявку в службе 115 закрыли, а проблему не решили? Что делать, рассказали в Министерстве ЖКХ нет комментариев",strong,relevance_rejected,справочный или рекомендательный материал: что делать,154237,1064
https://virtualbrest.ru/news190998.php,Виртуальный Брест,"Роковая ошибка. Инвалид по зрению перепутал бутылки, выпил растворитель и умер",strong,relevance_rejected,нет связки социальной темы и проблемы,61438,1827
https://virtualbrest.ru/news190994.php,Виртуальный Брест,Финансовые цели. «Евроторг» раскрыл планы на три года,strong,relevance_rejected,нет связки социальной темы и проблемы,61924,2405
https://virtualbrest.ru/news190989.php,Виртуальный Брест,Воспитательнице детсада сделали предложение в очень неожиданный момент,strong,relevance_rejected,недостаточный балл: 3,61187,1271
https://auto.onliner.by/2026/09/04/eti-vnedorozhniki,Onlíner,Эти внедорожники отлично подойдут для путешествий. Какой из них выберете?,strong,relevance_rejected,нет связки социальной темы и проблемы,189240,1839
https://virtualbrest.ru/news190973.php,Виртуальный Брест,"В Японии арестовали подозреваемого в массовом убийстве хомяков. Полиция полагает, что это был секс-ритуал",strong,relevance_rejected,иностранная тема в заголовке: япон,60493,1018
https://virtualbrest.ru/news190993.php,Виртуальный Брест,"Чем сегодня живет Брест, какие проекты меняют его облик и каким областной центр должен стать к 2030 году",strong,relevance_rejected,нет связки социальной темы и проблемы,75635,13306
https://virtualbrest.ru/news190983.php,Виртуальный Брест,Сингулярность постучала снизу: GPT-6 Astra научилась скрывать мысли и взламывать браузеры,strong,relevance_rejected,нет связки социальной темы и проблемы,66266,6236
https://virtualbrest.ru/news190972.php,Виртуальный Брест,Венгрия подняла в воздух истребители: мужчина угнал самолёт Cessna и взял курс на АЭС,strong,relevance_rejected,нет связки социальной темы и проблемы,60723,1186
https://virtualbrest.ru/news190976.php,Виртуальный Брест,Богомолы в Бресте: почему все чаще встречаются необычные хищники и стоит ли их бояться,strong,relevance_rejected,нет связки социальной темы и проблемы,66264,5047
https://virtualbrest.ru/news190963.php,Виртуальный Брест,Госнаград и Благодарности Президента удостоены аграрии и коллективы сельхозпредприятий Брестской области,strong,relevance_rejected,политическая тема: лукашенко,61936,1847
https://virtualbrest.ru/news190968.php,Виртуальный Брест,"Седьмой тепловой купол за лето: вы не поверите, но Европа снова готовится к жаре до +44 °C",strong,relevance_rejected,нет связки социальной темы и проблемы,66267,4655
https://auto.onliner.by/2026/09/03/muzhchina-lishilsya-prav,Onlíner,За это нарушение мужчина лишился водительского удостоверения на год и получил штраф (видео),strong,relevance_rejected,Result Integrity: обычное сообщение о дорожном правонарушении,147343,798
https://virtualbrest.ru/news190958.php,Виртуальный Брест,Европе предстоит сложная зима из-за резкого роста цен на энергоносители - СМИ,strong,relevance_rejected,иностранная тема в заголовке: европ,61550,1872
https://www.belnovosti.by/domashnie-zhivotnye/kak-otuchit-sobaku-podbirat-edu-na-ulice-bez-ryvkov-i-nakazaniy-metod,Белновости,"Как отучить собаку подбирать еду на улице без рывков и наказаний: метод, проверенный кинологами",strong,relevance_rejected,нет связки социальной темы и проблемы,108148,4709
https://charter97.org/ru/news/2026/9/3/697200,Хартия-97,«Белтелеком» поменял номера справочных служб,strong,relevance_rejected,нет связки социальной темы и проблемы,30036,785
https://hrodna.life/2026/09/03/kaskadzior-adnaulenne,Hrodna.life,"«Урачы думалі, што я памру». Каскадзёр, які пацярпеў на дрыфт-шоу ў Лідзе, выйшаў на сувязь",strong,relevance_rejected,нет связки социальной темы и проблемы,62691,3390
https://bgmedia.site/society/dzen-vedau-u-magilyouskaj-shkole,BGmedia,«Дзень ведаў ці дзень забойстваў?» У Магілёўскай школе перад вучнямі выступілі людзі з аўтаматамі,strong,relevance_rejected,Evidence Binding: тема и проблема связаны только глубоко в тексте,161379,1671
